NM_001180043.1	YAL068C	YAL068C
NM_001184582.1	YAL067W-A	YAL067W-A
NM_001178208.1	YAL067C	YAL067C
NM_001179897.1	YAL065C	YAL065C
NM_001180042.1	YAL064W-B	YAL064W-B
NM_001180041.1	YAL064C-A	YAL064C-A
NM_001178206.2	YAL064W	YAL064W
NM_001184642.1	YAL063C-A	YAL063C-A
NM_001178205.1	YAL063C	YAL063C
NM_001178204.1	YAL062W	YAL062W
NM_001178203.1	YAL061W	YAL061W
NM_001178202.2	YAL060W	YAL060W
NM_001178201.2	YAL059W	YAL059W
NM_001178200.1	YAL058W	YAL058W
NM_001178199.2	YAL056W	YAL056W
NM_001178198.1	YAL055W	YAL055W
NM_001178197.1	YAL054C	YAL054C
NM_001178196.2	YAL053W	YAL053W
NM_001178195.2	YAL051W	YAL051W
NM_001178194.1	YAL049C	YAL049C
NM_001178193.1	YAL048C	YAL048C
NM_001178192.2	YAL047C	YAL047C
NM_001178191.1	YAL046C	YAL046C
NM_001184453.1	YAL044W-A	YAL044W-A
NM_001178189.1	YAL044C	YAL044C
NM_001178188.1	YAL043C	YAL043C
NM_001178187.1	YAL042W	YAL042W
NM_001178186.1	YAL041W	YAL041W
NM_001178185.1	YAL040C	YAL040C
NM_001178184.1	YAL039C	YAL039C
NM_001178183.1	YAL038W	YAL038W
NM_001184629.1	YAL037C-A	YAL037C-A
NM_001178182.1	YAL037W	YAL037W
NM_001178181.1	YAL036C	YAL036C
NM_001178180.1	YAL035W	YAL035W
NM_001178179.1	YAL034W-A	YAL034W-A
NM_001180035.1	YAL034C	YAL034C
NM_001178178.1	YAL033W	YAL033W
NM_001178177.1	YAL032C	YAL032C
NM_001178176.1	YAL031C	YAL031C
NM_001178175.1	YAL030W	YAL030W
NM_001178174.1	YAL029C	YAL029C
NM_001178173.1	YAL028W	YAL028W
NM_001178172.1	YAL027W	YAL027W
NM_001178171.2	YAL026C	YAL026C
NR_132149.1	YNCA0001W	YNCA0001W
NM_001178170.2	YAL025C	YAL025C
NM_001178169.1	YAL024C	YAL024C
NM_001178168.1	YAL023C	YAL023C
NM_001178167.1	YAL022C	YAL022C
NM_001178166.1	YAL021C	YAL021C
NM_001178165.2	YAL020C	YAL020C
NM_001178164.1	YAL019W	YAL019W
NM_001178163.1	YAL018C	YAL018C
NM_001178162.2	YAL017W	YAL017W
NM_001178161.1	YAL016W	YAL016W
NM_001178160.1	YAL015C	YAL015C
NM_001178159.1	YAL014C	YAL014C
NM_001178158.2	YAL013W	YAL013W
NM_001178157.1	YAL012W	YAL012W
NM_001178156.1	YAL011W	YAL011W
NM_001178155.2	YAL010C	YAL010C
NM_001178154.1	YAL009W	YAL009W
NM_001178153.1	YAL008W	YAL008W
NM_001178152.1	YAL007C	YAL007C
unassigned_transcript_1	YNCA0002W	YNCA0002W
NM_001178151.1	YAL005C	YAL005C
NM_001178150.1	YAL003W	YAL003W
NR_132150.1	YNCA0003W	YNCA0003W
NM_001178149.1	YAL002W	YAL002W
NM_001178148.1	YAL001C	YAL001C
NM_001178209.1	YAR002W	YAR002W
NM_001180033.1	YAR002C-A	YAR002C-A
NM_001178210.1	YAR003W	YAR003W
NM_001178211.1	YAR007C	YAR007C
NM_001178212.1	YAR008W	YAR008W
NM_001178213.1	YAR009C	YAR009C
NM_001178214.1	YAR010C	YAR010C
