XR_004936710.1	Gm26206	Gm26206
XM_006495550.5	Xkr4	Xkr4
NM_001011874.1	Xkr4	Xkr4
XM_011238395.4	Xkr4	Xkr4
XM_036152287.1	Xkr4	Xkr4
XR_004935518.1	Gm53491	Gm53491
XR_004935517.1	Gm53491	Gm53491
XM_030252325.2	Rp1	Rp1
NM_001370921.1	Rp1	Rp1
NM_001195662.2	Rp1	Rp1
NM_011283.3	Rp1	Rp1
XM_036162991.1	Sox17	Sox17
NM_001289467.2	Sox17	Sox17
NM_001289464.2	Sox17	Sox17
NM_001289466.2	Sox17	Sox17
NM_001420509.1	Sox17	Sox17
NM_001289465.2	Sox17	Sox17
NM_011441.6	Sox17	Sox17
XM_030252405.1	Sox17	Sox17
XM_036162992.1	Sox17	Sox17
NM_001420508.1	Sox17	Sox17
XR_004936894.1	Gm22307	Gm22307
XR_003947656.1	Gm37323	Gm37323
XR_001778812.2	Gm37323	Gm37323
XR_001778806.2	Gm37323	Gm37323
XR_003947660.2	Gm37323	Gm37323
XR_003947708.1	Gm39586	Gm39586
XR_001778820.2	Gm46082	Gm46082
XR_001778816.2	Gm29874	Gm29874
XR_373196.3	Gm29874	Gm29874
XR_001778815.2	Gm29874	Gm29874
XR_001778819.2	Gm29874	Gm29874
NR_033530.2	Mrpl15	Mrpl15
NM_025300.5	Mrpl15	Mrpl15
NM_001177658.2	Mrpl15	Mrpl15
NM_001420685.1	Mrpl15	Mrpl15
NM_008866.3	Lypla1	Lypla1
NM_001355712.1	Lypla1	Lypla1
XR_004935520.1	Gm57794	Gm57794
NM_011541.4	Tcea1	Tcea1
NM_001159750.1	Tcea1	Tcea1
NM_001159751.1	Tcea1	Tcea1
XM_036152522.1	Rgs20	Rgs20
XM_036152516.1	Rgs20	Rgs20
XM_011238400.2	Rgs20	Rgs20
XM_006495554.3	Rgs20	Rgs20
XM_036152539.1	Rgs20	Rgs20
XM_036152535.1	Rgs20	Rgs20
NM_001177795.1	Rgs20	Rgs20
NM_021374.5	Rgs20	Rgs20
NM_001290372.1	Rgs20	Rgs20
XM_011238401.4	Rgs20	Rgs20
XR_373197.3	Gm16041	Gm16041
XM_030255279.2	Atp6v1h	Atp6v1h
XM_006495433.4	Atp6v1h	Atp6v1h
XM_036152455.1	Atp6v1h	Atp6v1h
XM_030255207.2	Atp6v1h	Atp6v1h
XM_036152440.1	Atp6v1h	Atp6v1h
XM_006495436.5	Atp6v1h	Atp6v1h
XM_030255244.2	Atp6v1h	Atp6v1h
XM_036152431.1	Atp6v1h	Atp6v1h
XM_036152445.1	Atp6v1h	Atp6v1h
NM_133826.5	Atp6v1h	Atp6v1h
NM_001310442.1	Atp6v1h	Atp6v1h
XM_036152423.1	Atp6v1h	Atp6v1h
XM_036152462.1	Atp6v1h	Atp6v1h
XM_036152442.1	Atp6v1h	Atp6v1h
XM_036152461.1	Atp6v1h	Atp6v1h
XM_011238336.4	Atp6v1h	Atp6v1h
XM_006495439.4	Atp6v1h	Atp6v1h
XM_017321103.2	Atp6v1h	Atp6v1h
XM_006495437.4	Atp6v1h	Atp6v1h
XM_006495470.1	Oprk1	Oprk1
NM_001204371.1	Oprk1	Oprk1
NM_001318735.1	Oprk1	Oprk1
NM_011011.2	Oprk1	Oprk1
NM_010342.1	Npbwr1	Npbwr1
XR_001779704.3	Gm46206	Gm46206
NR_190117.1	4732440D04Rik	4732440D04Rik
XM_011238338.3	Rb1cc1	Rb1cc1
XM_011238341.4	Rb1cc1	Rb1cc1
XM_006495443.5	Rb1cc1	Rb1cc1
XM_036156298.1	Rb1cc1	Rb1cc1
XM_036156334.1	Rb1cc1	Rb1cc1
NM_009826.4	Rb1cc1	Rb1cc1
XM_036156326.1	Rb1cc1	Rb1cc1
XM_011238339.2	Rb1cc1	Rb1cc1
XM_011238340.2	Rb1cc1	Rb1cc1
XM_036156270.1	Rb1cc1	Rb1cc1
XM_036156247.1	Rb1cc1	Rb1cc1
XM_036156243.1	Rb1cc1	Rb1cc1
NM_001195732.1	Alkal1	Alkal1
NR_045188.1	St18	St18
NR_045189.1	St18	St18
NM_001244692.1	St18	St18
NM_001244693.1	St18	St18
XM_036164681.1	St18	St18
XM_036164683.1	St18	St18
XM_036164670.1	St18	St18
XM_036164682.1	St18	St18
XM_011238372.3	St18	St18
XM_030253959.1	St18	St18
XM_030253967.1	St18	St18
XM_030253964.2	St18	St18
XM_006495503.5	St18	St18
XM_011238371.4	St18	St18
XM_030253957.2	St18	St18
XM_030253968.2	St18	St18
XM_030253955.2	St18	St18
NM_173868.2	St18	St18
XM_036164684.1	St18	St18
XM_006495501.4	St18	St18
XM_036164671.1	St18	St18
XM_036164680.1	St18	St18
XM_030253956.1	St18	St18
XM_011238373.3	St18	St18
XM_030253960.1	St18	St18
XM_006495504.4	St18	St18
XM_006495502.5	St18	St18
XM_030253961.2	St18	St18
XM_030253963.2	St18	St18
XR_373188.3	Pcmtd1	Pcmtd1
XM_006495535.3	Pcmtd1	Pcmtd1
XM_006495536.4	Pcmtd1	Pcmtd1
NM_183028.3	Pcmtd1	Pcmtd1
XM_036165672.1	Pcmtd1	Pcmtd1
XR_004936803.1	Gm23274	Gm23274
XR_004935537.1	Gm26901	Gm26901
XR_865172.3	Gm26901	Gm26901
XR_004935536.1	Gm26901	Gm26901
XR_004935533.1	Gm26901	Gm26901
XR_004935527.1	Gm26901	Gm26901
XR_004935530.1	Gm26901	Gm26901
XR_004935535.1	Gm26901	Gm26901
XR_004935529.1	Gm26901	Gm26901
XR_004935534.1	Gm26901	Gm26901
XR_004935532.1	Gm26901	Gm26901
XR_004935526.1	Gm26901	Gm26901
XR_004935528.1	Gm26901	Gm26901
XR_865178.1	Gm39589	Gm39589
XR_001778003.3	Sntg1	Sntg1
XM_036153661.1	Sntg1	Sntg1
XM_036153666.1	Sntg1	Sntg1
XM_036153660.1	Sntg1	Sntg1
XM_017312321.2	Sntg1	Sntg1
XM_006495572.3	Sntg1	Sntg1
XM_036153664.1	Sntg1	Sntg1
XM_036153658.1	Sntg1	Sntg1
XM_011238407.3	Sntg1	Sntg1
NM_001290392.1	Sntg1	Sntg1
NM_001290393.1	Sntg1	Sntg1
NM_001290390.1	Sntg1	Sntg1
NM_027671.5	Sntg1	Sntg1
XM_036153662.1	Sntg1	Sntg1
XM_017312320.3	Sntg1	Sntg1
XM_036153663.1	Sntg1	Sntg1
XR_373205.2	Gm30719	Gm30719
XR_373204.2	Gm30719	Gm30719
XR_004936716.1	Gm24765	Gm24765
NM_021511.2	Rrs1	Rrs1
NM_001357377.1	Adhfe1	Adhfe1
NM_175236.5	Adhfe1	Adhfe1
NM_001357376.1	Adhfe1	Adhfe1
NM_001357378.1	Adhfe1	Adhfe1
XM_036154234.1	Adhfe1	Adhfe1
XM_006495586.4	Adhfe1	Adhfe1
NR_015470.1	2610203C22Rik	2610203C22Rik
NM_178399.4	Vxn	Vxn
XM_006495461.1	Mybl1	Mybl1
XM_011238350.2	Mybl1	Mybl1
NM_001290397.1	Mybl1	Mybl1
NM_008651.3	Mybl1	Mybl1
XM_011238349.3	Mybl1	Mybl1
NM_173443.3	Vcpip1	Vcpip1
NR_040462.1	1700034P13Rik	1700034P13Rik
XR_865181.3	Gm39590	Gm39590
XR_865182.3	Gm39590	Gm39590
XR_865179.2	Gm39590	Gm39590
XR_865180.3	Gm39590	Gm39590
XR_865184.3	Gm39590	Gm39590
XR_865183.3	Gm39590	Gm39590
NM_133220.2	Sgk3	Sgk3
NM_177547.3	Sgk3	Sgk3
NM_001037759.1	Sgk3	Sgk3
XM_036155238.1	Gm6195	Gm6195
NM_177722.3	Mcmdc2	Mcmdc2
XM_011238376.3	Mcmdc2	Mcmdc2
NR_024067.2	Snhg6	Snhg6
NR_004410.1	Snord87	Snord87
XM_006495431.5	Tcf24	Tcf24
NM_001285425.2	Tcf24	Tcf24
NR_110971.1	Ppp1r42	Ppp1r42
XR_003946510.1	Ppp1r42	Ppp1r42
NM_145692.2	Ppp1r42	Ppp1r42
XM_006495566.3	Ppp1r42	Ppp1r42
XM_006495565.2	Ppp1r42	Ppp1r42
XR_004936723.1	Gm24674	Gm24674
NR_102282.1	Cops5	Cops5
NM_001277101.1	Cops5	Cops5
NM_013715.2	Cops5	Cops5
XR_004941385.1	Cspp1	Cspp1
XR_004941384.1	Cspp1	Cspp1
XR_004941386.1	Cspp1	Cspp1
XM_036163249.1	Cspp1	Cspp1
XM_036163256.1	Cspp1	Cspp1
XM_006495479.5	Cspp1	Cspp1
XM_006495481.5	Cspp1	Cspp1
XM_036163286.1	Cspp1	Cspp1
XM_006495485.4	Cspp1	Cspp1
XM_030252691.1	Cspp1	Cspp1
XM_036163251.1	Cspp1	Cspp1
XM_030252675.1	Cspp1	Cspp1
XM_030252689.1	Cspp1	Cspp1
NM_026493.3	Cspp1	Cspp1
XM_036163261.1	Cspp1	Cspp1
XM_006495482.5	Cspp1	Cspp1
XM_036163267.1	Cspp1	Cspp1
XM_036163260.1	Cspp1	Cspp1
XM_017319604.2	Cspp1	Cspp1
XM_036163262.1	Cspp1	Cspp1
XM_006495483.4	Cspp1	Cspp1
XM_030252688.2	Cspp1	Cspp1
XM_017319609.2	Cspp1	Cspp1
XM_036163264.1	Cspp1	Cspp1
XM_030252692.2	Cspp1	Cspp1
XM_036163294.1	Cspp1	Cspp1
NM_001368816.1	Cspp1	Cspp1
XR_004941387.1	Arfgef1	Arfgef1
NM_001102430.1	Arfgef1	Arfgef1
XM_011238393.3	Cpa6	Cpa6
XM_011238392.4	Cpa6	Cpa6
NM_001289497.2	Cpa6	Cpa6
NM_177834.5	Cpa6	Cpa6
XM_006495545.5	Cpa6	Cpa6
XR_004936708.1	Gm25253	Gm25253
XR_004934097.1	Prex2	Prex2
XM_006495441.5	Prex2	Prex2
XM_036153084.1	Prex2	Prex2
NM_029525.1	Prex2	Prex2
XM_036153075.1	Prex2	Prex2
NM_001033636.4	Prex2	Prex2
XR_004936838.1	Gm24173	Gm24173
XR_004942886.1	A830018L16Rik	A830018L16Rik
NR_174472.1	A830018L16Rik	A830018L16Rik
NR_174473.1	A830018L16Rik	A830018L16Rik
XM_030254977.2	A830018L16Rik	A830018L16Rik
XM_006495540.4	A830018L16Rik	A830018L16Rik
XM_030254976.2	A830018L16Rik	A830018L16Rik
XM_036165706.1	A830018L16Rik	A830018L16Rik
XM_036165718.1	A830018L16Rik	A830018L16Rik
XM_006495544.3	A830018L16Rik	A830018L16Rik
XM_036165716.1	A830018L16Rik	A830018L16Rik
XM_036165717.1	A830018L16Rik	A830018L16Rik
NM_001160369.2	A830018L16Rik	A830018L16Rik
NM_001374633.1	A830018L16Rik	A830018L16Rik
NM_177173.6	A830018L16Rik	A830018L16Rik
NM_001310451.1	A830018L16Rik	A830018L16Rik
NM_001374634.1	A830018L16Rik	A830018L16Rik
NM_001400289.1	A830018L16Rik	A830018L16Rik
NM_001160370.2	A830018L16Rik	A830018L16Rik
NM_001160371.2	A830018L16Rik	A830018L16Rik
NM_001400291.1	A830018L16Rik	A830018L16Rik
XR_373206.4	Gm30898	Gm30898
XR_373208.2	Gm30974	Gm30974
XR_004936890.1	Gm22633	Gm22633
XR_865186.1	Gm39591	Gm39591
NR_105759.1	Mir6341	Mir6341
unassigned_transcript_1	Mir6341	Mir6341
NR_045297.1	Gm17644	Gm17644
XM_036164698.1	Sulf1	Sulf1
XM_006495510.4	Sulf1	Sulf1
XM_036164696.1	Sulf1	Sulf1
XM_006495513.5	Sulf1	Sulf1
NM_001198565.2	Sulf1	Sulf1
NM_001198566.2	Sulf1	Sulf1
XM_006495512.4	Sulf1	Sulf1
XM_036164691.1	Sulf1	Sulf1
NM_172294.2	Sulf1	Sulf1
XM_036164701.1	Sulf1	Sulf1
XM_011238382.4	Slco5a1	Slco5a1
XM_011238380.4	Slco5a1	Slco5a1
XM_030253982.1	Slco5a1	Slco5a1
XM_006495518.4	Slco5a1	Slco5a1
XM_011238381.4	Slco5a1	Slco5a1
XM_030253981.2	Slco5a1	Slco5a1
XM_030253983.2	Slco5a1	Slco5a1
XM_030253984.2	Slco5a1	Slco5a1
NM_172841.2	Slco5a1	Slco5a1
XR_865187.1	Gm39592	Gm39592
NM_001081209.3	Prdm14	Prdm14
NM_008678.3	Ncoa2	Ncoa2
NM_001302702.1	Ncoa2	Ncoa2
XM_036162692.1	Ncoa2	Ncoa2
XM_036162710.1	Ncoa2	Ncoa2
XM_030252088.1	Ncoa2	Ncoa2
XM_036162655.1	Ncoa2	Ncoa2
XM_030252095.2	Ncoa2	Ncoa2
XM_036162694.1	Ncoa2	Ncoa2
XM_036162714.1	Ncoa2	Ncoa2
XM_036162698.1	Ncoa2	Ncoa2
XM_036162703.1	Ncoa2	Ncoa2
XM_030252090.2	Ncoa2	Ncoa2
XM_030252087.2	Ncoa2	Ncoa2
XM_030252072.2	Ncoa2	Ncoa2
XM_030252093.2	Ncoa2	Ncoa2
XM_017319241.3	Ncoa2	Ncoa2
XM_017319229.3	Ncoa2	Ncoa2
XM_030252082.2	Ncoa2	Ncoa2
XM_030252068.2	Ncoa2	Ncoa2
XM_017319235.3	Ncoa2	Ncoa2
XM_036162665.1	Ncoa2	Ncoa2
XM_036162709.1	Ncoa2	Ncoa2
XM_017319233.3	Ncoa2	Ncoa2
XM_030252070.2	Ncoa2	Ncoa2
XM_017319232.3	Ncoa2	Ncoa2
XM_030252066.2	Ncoa2	Ncoa2
XM_036162671.1	Ncoa2	Ncoa2
XM_036162677.1	Ncoa2	Ncoa2
XM_030252075.2	Ncoa2	Ncoa2
XM_030252077.2	Ncoa2	Ncoa2
XM_030252083.2	Ncoa2	Ncoa2
XR_004936739.1	Gm23169	Gm23169
XR_865189.2	Gm39595	Gm39595
NM_028173.5	Tram1	Tram1
NR_184545.1	Lactb2	Lactb2
NR_184544.1	Lactb2	Lactb2
NM_001417636.1	Lactb2	Lactb2
NM_001417635.1	Lactb2	Lactb2
NM_001417634.1	Lactb2	Lactb2
NM_001417630.1	Lactb2	Lactb2
NM_001417633.1	Lactb2	Lactb2
NM_145381.3	Lactb2	Lactb2
XM_006495548.3	Xkr9	Xkr9
NM_001011873.2	Xkr9	Xkr9
XM_006495547.4	Xkr9	Xkr9
XR_004936826.1	Gm26273	Gm26273
NR_004447.1	Gm5523	Gm5523
XR_373211.2	Gm31195	Gm31195
XR_373210.1	Gm31195	Gm31195
XR_373212.1	Gm31195	Gm31195
XR_865192.2	Gm39596	Gm39596
XR_865190.2	Gm39596	Gm39596
XR_865191.1	Gm39596	Gm39596
XR_001780756.2	Eya1	Eya1
XM_006495452.4	Eya1	Eya1
XM_017315414.2	Eya1	Eya1
NM_001252192.2	Eya1	Eya1
NM_001402660.1	Eya1	Eya1
NM_001310459.2	Eya1	Eya1
NM_010164.3	Eya1	Eya1
NM_001402659.1	Eya1	Eya1
XM_011238346.3	Eya1	Eya1
XM_017315381.2	Eya1	Eya1
XM_006495446.5	Eya1	Eya1
XM_030247470.2	Eya1	Eya1
XM_017315348.3	Eya1	Eya1
NM_001402661.1	Eya1	Eya1
XM_036159662.1	Eya1	Eya1
XM_036159644.1	Eya1	Eya1
NM_001402662.1	Eya1	Eya1
XM_036159675.1	Eya1	Eya1
NM_010827.3	Msc	Msc
NM_001360810.2	Msc	Msc
NM_001411711.1	Msc	Msc
NM_001411712.1	Msc	Msc
NM_001411713.1	Msc	Msc
XR_003947743.2	Gm9947	Gm9947
XR_004935542.1	Gm9947	Gm9947
XR_004935543.1	Gm9947	Gm9947
XR_865195.3	Gm9947	Gm9947
NM_001348288.1	Trpa1	Trpa1
NM_177781.5	Trpa1	Trpa1
